#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701   -0.660164
           1          30   -0.732392   -0.893041
           2          11   -0.533686   -0.613414
           3          14   -0.484213   -0.521464
           4          19  0.00371557   -0.951432
           5          21    0.303909   -0.572297
           6          22     0.35676   -0.803571
           7          31    0.426846   -0.776446
           8           3    0.410058   -0.827986
           9           6    0.552096   -0.957725
          10          29    0.626571   -0.964115
          11          32     0.97095   -0.201956
          12           1    0.459299   -0.337669
          13          20    0.372012   -0.261299
          14          13  -0.0417242  -0.0114806
          15           2  -0.0457706    0.143669
          16          15  -0.0564068    0.169834
          17          16    0.233619    0.160937
          18          18    0.863731    0.508103
          19          28    0.837711    0.879751
          20          26    0.531528    0.940534
          21           4    0.312037    0.810967
          22          24    0.154538     0.68001
          23          12  -0.0135474    0.512095
          24           5   -0.257007    0.673133
          25          27    -0.54778    0.989221
          26          10   -0.870714    0.509307
          27          23    -0.75808    0.360274
          28           9   -0.965397    0.166357
          29          25   -0.894478   -0.092985
          30           7   -0.663351    0.144877
          31           8   -0.441534   0.0917158
          32          33   -0.454497    -0.49727
          33          17   -0.832092   -0.681482
